l_orderkey int|l_partkey int|l_suppkey int|l_linenumber int|l_quantity float|l_extendedprice float|l_discount float|l_tax float|l_returnflag string(1)|l_linestatus string(1)|l_shipdate date|l_commitdate date|l_receiptdate date|l_shipinstruct string(25)|l_shipmode string(10)|l_comment string(44)
6337|159|16|4|32|33892.80|0.01|0.07|N|O|1995-12-23|1995-10-27|1996-01-06|DELIVER IN PERSON|FOB|l packages cajole. ca|
6337|140|13|5|34|35364.76|0.02|0.08|N|O|1995-09-03|1995-10-30|1995-09-04|COLLECT COD|SHIP|xpress requests. regular reque|
6337|512|15|6|7|9887.57|0.09|0.00|N|O|1995-09-07|1995-10-18|1995-10-01|COLLECT COD|TRUCK|arefully regular deposits sleep dependencie|
6338|392|23|1|3|3877.17|0.00|0.04|R|F|1992-03-31|1992-04-01|1992-04-28|DELIVER IN PERSON|RAIL|instructions. bold ide|
6338|415|6|2|24|31569.84|0.04|0.06|R|F|1992-04-28|1992-03-30|1992-05-14|DELIVER IN PERSON|REG AIR|s. asympto|
6338|556|2|3|41|59718.55|0.10|0.07|R|F|1992-04-06|1992-05-03|1992-04-27|TAKE BACK RETURN|REG AIR|le slyly across|
6338|301|19|4|27|32435.10|0.09|0.01|A|F|1992-04-12|1992-03-28|1992-04-15|NONE|SHIP| the slyly slow instruction|
6339|167|12|1|16|17074.56|0.01|0.03|A|F|1993-02-16|1993-02-17|1993-02-27|COLLECT COD|FOB| unusual theodolites breach slowly. p|
6339|4|5|2|10|9040.00|0.03|0.02|A|F|1992-12-27|1993-01-16|1993-01-03|NONE|AIR|efully slyly final requests|
6339|575|24|3|37|54596.09|0.09|0.02|A|F|1993-01-16|1993-03-08|1993-01-28|TAKE BACK RETURN|FOB|ly pending asymptotes. deposits upon th|
6339|442|23|4|6|8054.64|0.03|0.04|A|F|1993-03-16|1993-01-23|1993-03-30|DELIVER IN PERSON|AIR|. finally pending requests hinder furiously|
6339|86|24|5|19|18735.52|0.06|0.04|A|F|1993-01-31|1993-03-07|1993-02-15|COLLECT COD|TRUCK|thely after the stealthily special depen|
6339|417|28|6|11|14491.51|0.07|0.00|A|F|1993-04-07|1993-01-26|1993-04-18|DELIVER IN PERSON|TRUCK|refully ironic instructions doze a|
6340|344|21|1|31|38574.54|0.00|0.02|N|O|1997-01-16|1996-11-10|1997-01-24|COLLECT COD|SHIP| regular accounts|
6340|422|3|2|46|60831.32|0.07|0.00|N|O|1997-01-20|1996-11-26|1997-01-26|COLLECT COD|AIR|its. furiously final |
6340|583|10|3|13|19286.54|0.01|0.08|N|O|1997-01-31|1996-12-08|1997-02-25|NONE|FOB|posits. fluffily ironi|
6340|216|7|4|29|32370.09|0.01|0.00|N|O|1996-12-07|1996-11-21|1996-12-24|COLLECT COD|REG AIR|ar, regular deposits hagg|
6340|73|11|5|47|45734.29|0.01|0.06|N|O|1997-01-24|1996-11-28|1997-02-04|TAKE BACK RETURN|RAIL|ending theodolites. pa|
6341|510|1|1|11|15515.61|0.09|0.03|N|O|1996-08-11|1996-07-17|1996-09-02|DELIVER IN PERSON|REG AIR|fully after the hockey pla|
6341|159|22|2|16|16946.40|0.08|0.03|N|O|1996-08-27|1996-07-19|1996-09-21|TAKE BACK RETURN|RAIL|ependencies |
6341|188|22|3|26|28292.68|0.10|0.04|N|O|1996-06-16|1996-07-13|1996-07-01|TAKE BACK RETURN|RAIL|ly final instructions detect|
6341|368|28|4|35|44392.60|0.00|0.05|N|O|1996-09-16|1996-07-27|1996-09-21|DELIVER IN PERSON|SHIP|ctions breach blit|
6341|448|11|5|46|62028.24|0.08|0.05|N|O|1996-07-19|1996-08-29|1996-08-09|TAKE BACK RETURN|MAIL|gular courts. special|
6342|144|17|1|44|45942.16|0.09|0.04|N|O|1997-12-07|1997-12-31|1997-12-12|NONE|SHIP|uriously quickly |
6342|8|30|2|10|9080.00|0.00|0.04|N|O|1998-02-26|1997-12-29|1998-03-01|TAKE BACK RETURN|MAIL|ly final foxes. bra|
6342|162|13|3|38|40362.08|0.05|0.08|N|O|1997-12-19|1998-02-05|1997-12-25|NONE|REG AIR|unusual request|
6342|536|9|4|28|40222.84|0.06|0.02|N|O|1997-12-09|1998-01-06|1997-12-13|NONE|AIR|ffy accounts was a|
6342|322|27|5|18|22001.76|0.02|0.06|N|O|1998-02-19|1998-02-16|1998-03-01|NONE|SHIP|nts nag quietly unusual requests. s|
6342|408|19|6|1|1308.40|0.10|0.01|N|O|1998-01-28|1997-12-31|1998-02-13|DELIVER IN PERSON|TRUCK|yly furiously final ex|
6343|190|11|1|3|3270.57|0.02|0.04|N|O|1998-07-04|1998-05-15|1998-07-08|DELIVER IN PERSON|RAIL|according to the even, p|
6343|277|26|2|49|57686.23|0.07|0.06|N|O|1998-06-19|1998-05-23|1998-06-26|COLLECT COD|FOB| toward the bl|
6343|408|9|3|31|40560.40|0.05|0.07|N|O|1998-07-08|1998-06-07|1998-07-28|DELIVER IN PERSON|AIR|s. furiously careful packages hag|
6343|401|12|4|25|32535.00|0.00|0.00|N|O|1998-05-04|1998-06-15|1998-05-20|NONE|AIR|e carefully|
6343|203|24|5|48|52953.60|0.10|0.04|N|O|1998-04-30|1998-06-16|1998-05-18|NONE|AIR|ites boost. final depe|
6343|93|24|6|48|47668.32|0.10|0.05|N|O|1998-05-17|1998-04-20|1998-05-21|DELIVER IN PERSON|TRUCK|eas. even accounts use outside the pen|
6368|248|24|1|38|43633.12|0.05|0.03|A|F|1994-03-22|1994-05-09|1994-03-25|TAKE BACK RETURN|TRUCK|nto beans integrate requests! carefully s|
6368|513|22|2|36|50886.36|0.04|0.01|R|F|1994-03-09|1994-05-03|1994-04-06|TAKE BACK RETURN|SHIP|he special, ironic|
6368|413|4|3|44|57790.04|0.02|0.00|A|F|1994-05-11|1994-05-17|1994-05-24|DELIVER IN PERSON|RAIL|uickly final pa|
6369|436|29|1|32|42765.76|0.05|0.06|A|F|1995-03-13|1995-03-02|1995-03-20|NONE|SHIP|- furiously special theodolites are acc|
6369|423|4|2|47|62200.74|0.01|0.00|R|F|1995-03-29|1995-01-23|1995-04-24|COLLECT COD|SHIP|ully above the carefully spe|
6369|68|6|3|34|32914.04|0.07|0.03|R|F|1995-02-10|1995-03-18|1995-03-12|COLLECT COD|TRUCK|usly regul|
6369|495|16|4|39|54424.11|0.09|0.01|R|F|1995-01-25|1995-02-04|1995-02-19|NONE|AIR|equests along the carefully even deposits|
6370|433|14|1|6|8000.58|0.01|0.05|A|F|1993-03-16|1993-01-31|1993-04-01|DELIVER IN PERSON|REG AIR|pinto beans cajole furiously accord|
6370|98|19|2|38|37927.42|0.01|0.06|R|F|1993-02-19|1993-02-14|1993-03-18|TAKE BACK RETURN|AIR|xpress ideas are. s|
6371|119|30|1|9|9171.99|0.07|0.06|R|F|1993-07-30|1993-06-25|1993-08-27|DELIVER IN PERSON|TRUCK|ular request|
6371|284|3|2|31|36712.68|0.06|0.08|R|F|1993-07-14|1993-06-20|1993-08-10|COLLECT COD|RAIL|ns boost blithel|
6371|443|6|3|20|26868.80|0.05|0.08|A|F|1993-05-13|1993-06-06|1993-06-07|COLLECT COD|MAIL|ve the quickly express deposits. blithely |
6371|455|6|4|26|35241.70|0.09|0.03|R|F|1993-07-15|1993-05-18|1993-07-21|TAKE BACK RETURN|FOB|ithely above the carefully bold foxes.|
6371|331|2|5|50|61566.50|0.07|0.00|A|F|1993-06-13|1993-06-09|1993-06-20|DELIVER IN PERSON|AIR|e evenly pen|
6372|495|16|1|24|33491.76|0.07|0.06|R|F|1994-06-18|1994-04-18|1994-06-22|TAKE BACK RETURN|REG AIR|s. final ideas wake quickly above t|
6372|284|1|2|39|46186.92|0.04|0.05|R|F|1994-05-09|1994-05-01|1994-05-25|DELIVER IN PERSON|TRUCK|ss careful|
6372|390|9|3|39|50325.21|0.00|0.07|A|F|1994-04-14|1994-04-07|1994-05-02|DELIVER IN PERSON|AIR|tegrate slyly thinly sp|
6373|116|7|1|9|9144.99|0.09|0.05|R|F|1992-03-18|1992-04-19|1992-04-15|TAKE BACK RETURN|MAIL|ep slyly car|
6373|478|13|2|9|12406.23|0.10|0.01|A|F|1992-04-08|1992-03-20|1992-04-17|NONE|REG AIR|lithely according to the fluffily e|
6373|71|30|3|48|46611.36|0.10|0.06|R|F|1992-02-05|1992-04-11|1992-02-28|TAKE BACK RETURN|TRUCK|sleep carefully blithely|
6373|344|3|4|4|4977.36|0.10|0.03|R|F|1992-05-06|1992-04-18|1992-05-17|DELIVER IN PERSON|REG AIR|l packages. even c|
6373|17|18|5|5|4585.05|0.05|0.04|A|F|1992-01-26|1992-04-12|1992-02-23|TAKE BACK RETURN|AIR|ven ideas among the furiously e|
6373|597|28|6|50|74879.50|0.06|0.06|A|F|1992-04-25|1992-03-11|1992-04-30|DELIVER IN PERSON|REG AIR|ajole furiously |
6374|76|5|1|6|5856.42|0.03|0.03|N|O|1995-08-28|1995-09-17|1995-09-17|DELIVER IN PERSON|REG AIR|slyly special sentiments sleep fluffily. s|
6374|370|11|2|37|47003.69|0.05|0.02|N|O|1995-11-07|1995-09-14|1995-11-29|COLLECT COD|RAIL|quickly according to the blithely |
6374|242|18|3|1|1142.24|0.03|0.04|N|O|1995-09-01|1995-10-21|1995-09-19|DELIVER IN PERSON|MAIL|gular deposits breach alongside of the |
6374|356|3|4|28|35177.80|0.01|0.07|N|O|1995-09-25|1995-10-16|1995-10-01|TAKE BACK RETURN|FOB|press foxes are. regula|
6374|407|8|5|22|28762.80|0.06|0.03|N|O|1995-11-20|1995-10-24|1995-11-28|DELIVER IN PERSON|REG AIR|fully carefully|
6374|293|10|6|24|28638.96|0.01|0.05|N|O|1995-08-20|1995-09-07|1995-09-06|COLLECT COD|AIR|deposits above the final, final courts sl|
6375|194|15|1|40|43767.60|0.08|0.05|N|O|1998-01-10|1998-01-28|1998-01-18|DELIVER IN PERSON|SHIP| deposits mold sl|
6375|4|19|2|50|45200.00|0.02|0.02|N|O|1998-02-10|1998-01-11|1998-03-08|NONE|FOB|nticing reque|
6375|303|25|3|43|51741.90|0.08|0.03|N|O|1998-02-25|1998-02-04|1998-03-04|NONE|MAIL|inal, final i|
6375|547|23|4|45|65139.30|0.07|0.03|N|O|1997-11-23|1997-12-24|1997-11-28|DELIVER IN PERSON|FOB| furiously express ideas sleep|
6375|119|30|5|4|4076.44|0.03|0.01|N|O|1998-03-05|1998-01-10|1998-03-25|NONE|AIR|. careful asymptot|
6375|128|20|6|37|38040.44|0.03|0.05|N|O|1998-01-06|1998-01-11|1998-01-10|DELIVER IN PERSON|TRUCK|packages af|
6400|276|23|1|22|25877.94|0.10|0.07|A|F|1994-02-25|1994-04-07|1994-03-06|COLLECT COD|TRUCK|ts sleep carefully quickly reg|
6400|427|8|2|49|65043.58|0.01|0.06|R|F|1994-03-07|1994-03-05|1994-03-20|TAKE BACK RETURN|MAIL|jole slyly above the slyly sp|
6401|359|6|1|36|45336.60|0.06|0.07|N|O|1997-05-07|1997-06-20|1997-05-13|DELIVER IN PERSON|RAIL|do cajole ruthlessly bold, final accounts. |
6401|102|13|2|39|39081.90|0.08|0.01|N|O|1997-05-23|1997-06-16|1997-05-25|COLLECT COD|MAIL|es haggle careful|
6401|34|29|3|6|5604.18|0.07|0.06|N|O|1997-06-08|1997-05-24|1997-06-18|DELIVER IN PERSON|TRUCK| final, express pi|
6401|449|30|4|18|24289.92|0.01|0.07|N|O|1997-05-19|1997-06-07|1997-05-29|COLLECT COD|REG AIR|ess deposits sublate ironic ac|
6401|52|9|5|25|23801.25|0.04|0.05|N|O|1997-08-01|1997-06-25|1997-08-30|COLLECT COD|RAIL|sleep slyly. carefully|
6402|543|4|1|40|57741.60|0.07|0.01|N|O|1995-06-23|1995-06-06|1995-06-28|TAKE BACK RETURN|SHIP|efully iro|
6402|566|27|2|42|61595.52|0.09|0.07|A|F|1995-04-28|1995-07-23|1995-05-21|NONE|SHIP|ests. carefully bold accou|
6402|581|12|3|27|40002.66|0.07|0.06|N|O|1995-07-22|1995-06-10|1995-07-23|DELIVER IN PERSON|TRUCK|carefully. furiously regular dolphins s|
6402|215|20|4|18|20073.78|0.04|0.06|N|F|1995-06-16|1995-06-29|1995-06-19|COLLECT COD|MAIL|en, unusual pinto beans ha|
6403|382|1|1|13|16670.94|0.07|0.00|N|F|1995-05-31|1995-03-20|1995-06-30|TAKE BACK RETURN|TRUCK|final packages sleep. ruthless deposits hag|
6403|39|4|2|13|12207.39|0.01|0.04|R|F|1995-04-01|1995-03-19|1995-04-15|DELIVER IN PERSON|RAIL|nding platelets. daring, expre|
6403|465|30|3|49|66907.54|0.09|0.03|R|F|1995-02-26|1995-03-21|1995-03-28|COLLECT COD|REG AIR|ise final, even accounts. slyly unusual s|
6404|430|11|1|45|59869.35|0.02|0.04|N|O|1996-07-13|1996-08-15|1996-08-03|COLLECT COD|MAIL|l sheaves. fluffily ruthless requests nag|
6405|107|18|1|1|1007.10|0.09|0.07|N|O|1997-08-13|1997-07-30|1997-09-09|NONE|FOB|lay carefully ironic packa|
6405|27|12|2|39|36153.78|0.09|0.04|N|O|1997-06-26|1997-07-27|1997-07-05|NONE|RAIL|nts sleep. ironic accounts cajole aga|
6406|524|9|1|19|27065.88|0.00|0.04|R|F|1994-11-14|1994-10-15|1994-11-30|DELIVER IN PERSON|SHIP|s use slyly against the quic|
6406|53|18|2|3|2859.15|0.02|0.06|R|F|1994-09-09|1994-11-01|1994-10-09|COLLECT COD|AIR|fluffily ironi|
6406|139|23|3|11|11430.43|0.04|0.05|R|F|1994-08-26|1994-10-07|1994-09-04|DELIVER IN PERSON|FOB|y. blithely regular ideas wake b|
6406|470|13|4|24|32891.28|0.06|0.01|R|F|1994-11-18|1994-09-28|1994-12-13|COLLECT COD|AIR|ges. slyly careful asymptotes amon|
6406|443|27|5|15|20151.60|0.04|0.01|R|F|1994-10-09|1994-11-09|1994-11-02|TAKE BACK RETURN|RAIL|ions. specia|
6407|203|24|1|38|41921.60|0.03|0.03|N|O|1995-10-31|1995-09-11|1995-11-14|COLLECT COD|AIR|e of the fluff|
6407|8|9|2|48|43584.00|0.01|0.06|N|O|1995-08-05|1995-10-05|1995-08-30|TAKE BACK RETURN|FOB| multipliers above the final, regu|
6432|79|17|1|37|36225.59|0.04|0.00|N|O|1996-01-25|1995-12-28|1996-02-03|TAKE BACK RETURN|FOB|he, regular instructions. furiously |
6432|215|6|2|26|28995.46|0.02|0.06|N|O|1996-02-02|1996-01-12|1996-03-01|COLLECT COD|REG AIR|regular fo|
6432|186|16|3|25|27154.50|0.02|0.02|N|O|1996-02-28|1995-12-11|1996-03-02|COLLECT COD|SHIP|ng accounts cajole care|
6432|377|26|4|26|33211.62|0.01|0.01|N|O|1996-01-17|1995-12-27|1996-01-26|NONE|RAIL|hely ironic dugouts sleep always against t|
6432|337|2|5|21|25983.93|0.04|0.06|N|O|1995-12-27|1995-12-13|1996-01-06|NONE|RAIL|haggle carefully|
6432|143|24|6|2|2086.28|0.02|0.06|N|O|1995-11-25|1996-01-01|1995-12-25|DELIVER IN PERSON|TRUCK|idly careful platelets boost care|
6432|592|19|7|2|2985.18|0.07|0.01|N|O|1996-02-06|1996-01-09|1996-02-22|TAKE BACK RETURN|REG AIR|onically regular ins|
6433|220|23|1|50|56011.00|0.01|0.04|N|O|1995-12-02|1996-01-22|1995-12-27|NONE|MAIL|posits boost carefully busy notornis. regul|
6433|416|27|2|42|55289.22|0.07|0.06|N|O|1996-03-14|1996-02-01|1996-04-05|DELIVER IN PERSON|RAIL|kly final deposits haggle |
6433|31|10|3|45|41896.35|0.08|0.03|N|O|1996-01-04|1996-02-05|1996-01-08|COLLECT COD|REG AIR|kages sleep regular deposits. b|
6433|331|8|4|15|18469.95|0.09|0.04|N|O|1996-01-27|1995-12-27|1996-02-15|DELIVER IN PERSON|MAIL|lithe ideas. furiously final r|
6433|145|26|5|29|30309.06|0.03|0.03|N|O|1995-12-11|1996-02-07|1996-01-07|NONE|AIR|equests. ironic accounts sl|
6433|600|27|6|16|24009.60|0.00|0.03|N|O|1996-03-01|1996-01-31|1996-03-05|TAKE BACK RETURN|RAIL|refully. ironic sauternes should have to |
6433|381|11|7|19|24346.22|0.08|0.05|N|O|1995-11-29|1996-01-26|1995-12-26|COLLECT COD|RAIL|, bold packages|
6434|456|13|1|43|58327.35|0.05|0.00|R|F|1994-07-19|1994-09-01|1994-08-05|TAKE BACK RETURN|MAIL|ke furiously blithely final accoun|
6434|579|10|2|46|68060.22|0.01|0.04|A|F|1994-06-17|1994-07-11|1994-06-27|DELIVER IN PERSON|AIR|stealthy requests are slyly according |
6434|421|2|3|29|38321.18|0.09|0.05|R|F|1994-08-12|1994-07-24|1994-09-08|TAKE BACK RETURN|MAIL|ide of the carefully unusual|
6435|158|9|1|29|30686.35|0.04|0.07|N|O|1996-06-12|1996-08-14|1996-06-29|COLLECT COD|REG AIR|gular requests nod above the slyly specia|
6435|257|3|2|46|53233.50|0.04|0.07|N|O|1996-09-21|1996-07-26|1996-10-21|COLLECT COD|RAIL|sits. ironic |
6435|563|19|3|18|26344.08|0.01|0.06|N|O|1996-07-16|1996-08-22|1996-07-24|TAKE BACK RETURN|MAIL|deposits. carefully even accounts ac|
6435|498|12|4|19|26571.31|0.01|0.07|N|O|1996-07-19|1996-07-23|1996-07-26|TAKE BACK RETURN|TRUCK|pendencies. regular, f|
6435|334|5|5|35|43201.55|0.10|0.03|N|O|1996-09-10|1996-08-18|1996-09-11|COLLECT COD|MAIL| are furiously carefully exp|
6435|220|11|6|19|21284.18|0.06|0.06|N|O|1996-09-16|1996-08-23|1996-09-20|TAKE BACK RETURN|MAIL|ously express deposits. pac|
6435|221|12|7|10|11212.20|0.09|0.03|N|O|1996-07-09|1996-08-11|1996-07-23|COLLECT COD|MAIL|instructions. express depo|
6436|290|23|1|7|8332.03|0.09|0.06|A|F|1992-05-07|1992-05-05|1992-06-06|TAKE BACK RETURN|MAIL|al courts eat furiously quickly |
6436|55|4|2|4|3820.20|0.00|0.02|R|F|1992-04-21|1992-05-28|1992-05-01|TAKE BACK RETURN|SHIP|. forges wake|
6437|483|4|1|10|13834.80|0.05|0.08|R|F|1994-04-18|1994-03-26|1994-04-21|NONE|MAIL|final deposits. even theodolites boos|
6437|202|2|2|18|19839.60|0.07|0.05|A|F|1994-02-07|1994-03-22|1994-03-01|TAKE BACK RETURN|AIR|deas wake express, sile|
6437|557|18|3|49|71419.95|0.01|0.04|R|F|1994-02-07|1994-04-22|1994-03-06|NONE|RAIL|o the even|
6437|599|18|4|36|53985.24|0.09|0.08|R|F|1994-02-09|1994-03-06|1994-03-11|COLLECT COD|SHIP|gular, enticing packages will have|
6438|105|6|1|8|8040.80|0.00|0.08|A|F|1993-07-28|1993-07-18|1993-08-21|COLLECT COD|MAIL|tegrate fluffily. |
6438|388|29|2|6|7730.28|0.01|0.07|A|F|1993-05-27|1993-07-02|1993-06-15|TAKE BACK RETURN|FOB|kages. slyly special theodolites|
6438|545|21|3|3|4336.62|0.10|0.07|R|F|1993-07-27|1993-08-12|1993-08-06|DELIVER IN PERSON|RAIL|lyly carefully unusua|
6438|263|9|4|23|26754.98|0.08|0.02|R|F|1993-08-25|1993-06-25|1993-08-27|COLLECT COD|RAIL|ly express excuses after the senti|
6438|520|5|5|37|52559.24|0.07|0.03|A|F|1993-07-27|1993-07-27|1993-08-24|DELIVER IN PERSON|SHIP|d platelets wake slyly. |
6439|468|11|1|2|2736.92|0.05|0.00|N|O|1995-07-23|1995-09-15|1995-07-28|TAKE BACK RETURN|RAIL|. furiously express pinto |
6439|380|29|2|16|20486.08|0.10|0.08|N|O|1995-08-29|1995-09-25|1995-08-31|DELIVER IN PERSON|TRUCK|against the slyly pending accounts. ne|
6439|375|16|3|48|61217.76|0.02|0.05|N|O|1995-09-25|1995-09-24|1995-10-10|TAKE BACK RETURN|SHIP|ly regular foxes nag along the carefully|
6439|598|25|4|42|62940.78|0.08|0.02|N|O|1995-10-10|1995-09-01|1995-10-19|COLLECT COD|SHIP| the blithely |
6439|189|10|5|48|52280.64|0.01|0.06|N|O|1995-08-04|1995-08-12|1995-08-20|DELIVER IN PERSON|FOB|nal pinto beans: fluffily bold real|
6464|305|10|1|39|47006.70|0.08|0.06|A|F|1994-07-24|1994-07-21|1994-08-05|DELIVER IN PERSON|FOB|s boost: regular deposits mold furiously a|
6464|37|16|2|32|29984.96|0.06|0.04|A|F|1994-07-24|1994-07-10|1994-08-17|TAKE BACK RETURN|TRUCK|unts. quickly even foxes dazzl|
6464|587|6|3|40|59503.20|0.07|0.04|R|F|1994-08-27|1994-08-24|1994-09-17|NONE|SHIP| instructions. special instruction|
6464|501|15|4|3|4204.50|0.08|0.08|R|F|1994-06-17|1994-07-18|1994-06-27|TAKE BACK RETURN|FOB|g the ironi|
6464|218|21|5|8|8945.68|0.09|0.04|R|F|1994-09-05|1994-07-29|1994-09-28|COLLECT COD|SHIP|blithely ironic, regular deposits|
6464|580|11|6|8|11844.64|0.07|0.04|R|F|1994-06-26|1994-08-18|1994-07-09|DELIVER IN PERSON|RAIL| special foxes wake carefully ironic,|
6465|576|25|1|29|42820.53|0.07|0.07|N|O|1995-10-18|1995-10-05|1995-11-12|TAKE BACK RETURN|FOB| furiously ironic platelets. |
6465|587|14|2|4|5950.32|0.01|0.01|N|O|1995-11-06|1995-09-17|1995-11-30|COLLECT COD|TRUCK|pinto beans mold about the flu|
6465|206|27|3|35|38717.00|0.01|0.05|N|O|1995-11-22|1995-10-01|1995-12-02|DELIVER IN PERSON|REG AIR|uests sleep carefully among the quickly bo|
6465|235|8|4|3|3405.69|0.10|0.08|N|O|1995-10-10|1995-10-18|1995-10-30|TAKE BACK RETURN|AIR|. carefully regular accoun|
6465|138|30|5|4|4152.52|0.00|0.05|N|O|1995-11-12|1995-11-05|1995-11-22|NONE|RAIL|riously final deposits. quickly |
6465|554|15|6|43|62545.65|0.05|0.02|N|O|1995-11-10|1995-10-23|1995-11-25|TAKE BACK RETURN|REG AIR|dependencies sleep fluffily alongside |
6465|143|5|7|10|10431.40|0.01|0.02|N|O|1995-08-17|1995-10-24|1995-09-03|NONE|SHIP|are ironically special, regular accounts. e|
6466|249|10|1|25|28731.00|0.02|0.01|N|O|1997-06-22|1997-06-18|1997-07-04|TAKE BACK RETURN|SHIP|ravely regular a|
6467|67|8|1|50|48353.00|0.05|0.06|N|O|1998-06-02|1998-05-05|1998-06-06|NONE|REG AIR|haggle. ideas |
6468|523|8|1|18|25623.36|0.00|0.04|N|O|1996-11-04|1996-11-01|1996-11-14|DELIVER IN PERSON|REG AIR|dependencies use r|
6469|480|7|1|28|38653.44|0.04|0.04|N|O|1996-04-05|1996-06-07|1996-04-08|TAKE BACK RETURN|FOB|furiously regular dolphins wake fin|
6469|242|18|2|49|55969.76|0.09|0.03|N|O|1996-05-05|1996-05-02|1996-05-14|COLLECT COD|REG AIR|ong the decoys boost sl|
6469|597|16|3|18|26956.62|0.02|0.05|N|O|1996-04-09|1996-05-25|1996-04-26|DELIVER IN PERSON|AIR|osits. thin|
6469|108|19|4|19|19153.90|0.03|0.07|N|O|1996-03-20|1996-05-07|1996-03-26|COLLECT COD|MAIL|cording to the even deposits detect|
6469|55|4|5|8|7640.40|0.04|0.02|N|O|1996-06-07|1996-05-11|1996-06-12|TAKE BACK RETURN|MAIL|ar accounts are |
6469|195|29|6|12|13142.28|0.00|0.03|N|O|1996-04-18|1996-05-08|1996-05-06|DELIVER IN PERSON|RAIL|against the packages|
6469|174|1|7|48|51560.16|0.09|0.05|N|O|1996-04-30|1996-04-24|1996-05-28|COLLECT COD|RAIL| have to sleep slyly special pin|
6470|158|21|1|30|31744.50|0.02|0.06|N|O|1995-10-23|1995-12-01|1995-11-20|COLLECT COD|AIR|he quickly bold deposits. regular requ|
6470|469|20|2|44|60256.24|0.07|0.04|N|O|1995-12-15|1995-11-10|1995-12-27|TAKE BACK RETURN|FOB|ly along the regular dependencies. final,|
6470|456|7|3|44|59683.80|0.07|0.06|N|O|1995-12-17|1995-10-16|1996-01-14|COLLECT COD|FOB| blithe instruct|
6470|347|18|4|12|14968.08|0.08|0.03|N|O|1995-12-09|1995-10-29|1995-12-12|NONE|TRUCK| the enticing, ironic deposits. slyly exp|
6470|438|1|5|42|56214.06|0.07|0.03|N|O|1995-10-23|1995-12-03|1995-11-11|DELIVER IN PERSON|SHIP|uests was quickly ac|
6470|113|4|6|37|37485.07|0.03|0.07|N|O|1995-09-14|1995-10-22|1995-09-24|COLLECT COD|SHIP|quickly alon|
6470|554|30|7|9|13090.95|0.01|0.05|N|O|1996-01-09|1995-11-28|1996-01-20|DELIVER IN PERSON|AIR| across the slyly silent|
6471|114|5|1|49|49691.39|0.09|0.03|N|O|1998-05-18|1998-03-31|1998-06-12|NONE|AIR|uffily bold de|
6471|152|27|2|36|37877.40|0.02|0.02|N|O|1998-05-03|1998-04-08|1998-05-20|DELIVER IN PERSON|TRUCK|inal frets. quickly special theodolites wak|
6471|477|4|3|8|11019.76|0.06|0.04|N|O|1998-05-18|1998-05-05|1998-05-23|NONE|RAIL| slyly regular idea|
6471|572|21|4|6|8835.42|0.09|0.03|N|O|1998-04-12|1998-05-20|1998-04-30|NONE|TRUCK|pecial excuses. final accounts above|
6471|511|26|5|49|69163.99|0.04|0.05|N|O|1998-04-09|1998-05-05|1998-04-28|DELIVER IN PERSON|REG AIR|arefully ironic theodolites. s|
6471|569|20|6|16|23512.96|0.03|0.07|N|O|1998-04-29|1998-04-09|1998-05-02|TAKE BACK RETURN|SHIP|ep slyly ironic,|
6471|506|13|7|26|36569.00|0.03|0.08|N|O|1998-06-22|1998-05-08|1998-07-14|DELIVER IN PERSON|MAIL|ly fluffil|
6496|408|19|1|36|47102.40|0.06|0.04|N|O|1995-10-27|1995-08-06|1995-11-20|TAKE BACK RETURN|RAIL| sleep carefully about the som|
6496|86|24|2|41|40429.28|0.06|0.00|N|O|1995-08-03|1995-09-24|1995-08-15|TAKE BACK RETURN|REG AIR|ons are along the ev|
6496|563|9|3|24|35125.44|0.01|0.01|N|O|1995-10-10|1995-09-18|1995-10-22|COLLECT COD|AIR|lly even instruc|
6496|568|24|4|15|22028.40|0.03|0.08|N|O|1995-10-26|1995-09-02|1995-11-15|DELIVER IN PERSON|TRUCK|carefully regular requests haggl|
6496|253|29|5|23|26524.75|0.04|0.01|N|O|1995-10-04|1995-08-27|1995-10-12|COLLECT COD|RAIL| are slyly according to the i|
6496|391|12|6|12|15496.68|0.05|0.03|N|O|1995-10-16|1995-07-31|1995-11-07|DELIVER IN PERSON|AIR|ic packages-- furiously |
6497|570|16|1|27|39705.39|0.07|0.04|N|O|1997-12-10|1997-11-11|1997-12-27|NONE|AIR|ys slyly special dolphins. asymptotes |
6498|401|22|1|43|55960.20|0.00|0.03|A|F|1994-04-26|1994-04-20|1994-05-21|DELIVER IN PERSON|REG AIR|fluffily final depend|
6498|431|15|2|20|26628.60|0.04|0.07|R|F|1994-06-16|1994-06-01|1994-07-08|NONE|TRUCK|gular requests |
6499|441|13|1|23|30853.12|0.07|0.04|N|O|1995-08-14|1995-07-17|1995-08-16|TAKE BACK RETURN|TRUCK|packages. final, re|
6499|439|20|2|39|52237.77|0.01|0.04|N|O|1995-06-19|1995-06-14|1995-07-19|DELIVER IN PERSON|REG AIR|. accounts cajole deposits. furiously r|
6499|368|6|3|8|10146.88|0.05|0.07|N|O|1995-07-13|1995-07-11|1995-08-02|DELIVER IN PERSON|SHIP|s believe slyly |
6500|192|22|1|31|33857.89|0.04|0.06|A|F|1993-01-16|1992-12-01|1993-01-27|TAKE BACK RETURN|MAIL|among the quickly unusual accoun|
